SALES,Quantity_sold,Cost_of_sales,Month_NAME,Year_NAME,Day_NAME,Average_Unit_Price,Gross_profit,Total_sales,Total_units_sold,Total_cost_sale
118921.3047,3394,115305.8047,Apr,2014,Tuesday,35.0386873,-3615.5,,,
124828.2813,3563,121264.7031,Apr,2014,Wednesday,35.03460041,-3563.578125,,,
179326.4844,5380,183278.5,Apr,2014,Thursday,33.33206029,3952.015625,,,
318949.8125,9573,326322.5313,Apr,2014,Friday,33.31764468,7372.71875,,,
375031.0938,11250,383727.1875,Apr,2014,Saturday,33.33609722,8696.09375,,,
166393.5469,4990,170061.8594,Apr,2014,Sunday,33.34540018,3668.3125,,,
193652.3281,5810,198212.0625,Apr,2014,Monday,33.33086543,4559.734375,,,
249805.5156,7497,255956.6563,Apr,2014,Tuesday,33.32073038,6151.140625,,,
294023.4063,8821,301522.3438,Apr,2014,Wednesday,33.33220794,7498.9375,,,
612236,18366,627927.75,Apr,2014,Thursday,33.33529348,15691.75,,,
464815.5313,13940,476692.5313,Apr,2014,Friday,33.34401228,11877,,,
360480.9375,10814,369765.625,Apr,2014,Saturday,33.334653,9284.6875,,,
114279.5781,3429,117190.8281,Apr,2014,Sunday,33.3273777,2911.25,,,
161170.8281,4834,165415.0781,Apr,2014,Monday,33.34108981,4244.25,,,
182483.1406,5475,187344.7344,Apr,2014,Tuesday,33.330254,4861.59375,,,
109358.4141,3121,106849.8984,Apr,2014,Wednesday,35.03954312,-2508.515625,,,
98430.11719,2809,96197.48438,Apr,2014,Thursday,35.04098155,-2232.632813,,,
295741.3438,8537,292327.0313,Apr,2014,Friday,34.64230336,-3414.3125,,,
285053.9688,8209,281159.5938,Apr,2014,Saturday,34.72456679,-3894.375,,,
124964.7969,3592,123042.1563,Apr,2014,Sunday,34.78975414,-1922.640625,,,
124175.8047,3576,122516.0625,Apr,2014,Monday,34.7247776,-1659.742188,,,
131842.5781,3807,130405.2656,Apr,2014,Tuesday,34.63162021,-1437.3125,,,
154850.0625,4398,150644.3438,Apr,2014,Wednesday,35.2092002,-4205.71875,,,
180294.2656,5124,175656.6563,May,2014,Thursday,35.18623451,-4637.609375,,,
163849.0313,4581,157300.625,May,2014,Friday,35.76708824,-6548.40625,,,
131436.7969,3697,127601.9453,May,2014,Saturday,35.55228479,-3834.851563,,,
93082.04688,2642,91601.50781,May,2014,Sunday,35.23166044,-1480.539063,,,
110887.0156,3154,109460.1563,May,2014,Monday,35.15758263,-1426.859375,,,
119385.5781,3324,115693.1094,May,2014,Tuesday,35.91623891,-3692.46875,,,
91719.58594,2677,93157.17188,May,2014,Wednesday,34.26207917,1437.585938,,,
96335.44531,2683,93696.21875,May,2014,Thursday,35.90586855,-2639.226563,,,
303226.3125,9328,325836.9375,May,2014,Friday,32.50710897,22610.625,,,
431695.7188,13306,465253.8125,May,2014,Saturday,32.44368847,33558.09375,,,
200407.2813,6173,215907.8281,May,2014,Sunday,32.46513547,15500.54688,,,
183413.7031,5653,197835.5,May,2014,Monday,32.44537469,14421.79688,,,
146166.5938,4503,157693.1875,May,2014,Tuesday,32.45982539,11526.59375,,,
201120.7344,6253,218098.7656,May,2014,Wednesday,32.16387884,16978.03125,,,
270123.5625,8408,289864.8125,May,2014,Thursday,32.12696985,19741.25,,,
415315.375,12949,441790.7813,May,2014,Friday,32.07316202,26475.40625,,,
498717,15508,526707.375,May,2014,Saturday,32.15869229,27990.375,,,
166433.1719,5141,174376.625,May,2014,Sunday,32.37369614,7943.453125,,,
168520.625,5194,175540.1094,May,2014,Monday,32.44524933,7019.484375,,,
178123.5313,5550,187748.1719,May,2014,Tuesday,32.09432995,9624.640625,,,
194878.7969,6070,204460.6719,May,2014,Wednesday,32.10523836,9581.875,,,
115475.0938,3421,115011.3203,May,2014,Thursday,33.75477748,-463.7734375,,,
430521.0313,13384,449274.1875,May,2014,Friday,32.16684334,18753.15625,,,
590642.8125,18356,614245.8125,May,2014,Saturday,32.17709809,23603,,,
210764.7188,6500,217364.4688,May,2014,Sunday,32.42534135,6599.75,,,
218189.3438,6752,225607.5938,May,2014,Monday,32.31477247,7418.25,,,
226132.4688,7023,234496.5156,May,2014,Tuesday,32.1988422,8364.046875,,,
243720.875,7579,252929.2969,May,2014,Wednesday,32.15739214,9208.421875,,,
207429.4219,6448,215118.8438,May,2014,Thursday,32.16957535,7689.421875,,,
503149.4375,15637,521651.0938,May,2014,Friday,32.17685218,18501.65625,,,
603748.8125,18775,626259.375,May,2014,Saturday,32.15706059,22510.5625,,,
456017.4688,14188,473223.9688,Jun,2014,Sunday,32.14106772,17206.5,,,
425845.1875,13256,442156,Jun,2014,Monday,32.12471239,16310.8125,,,
328217.7813,10223,340913.5938,Jun,2014,Tuesday,32.10581838,12695.8125,,,
286406,8904,296902.6875,Jun,2014,Wednesday,32.16599281,10496.6875,,,
184989.8906,5783,192824.8906,Jun,2014,Thursday,31.98856833,7835,,,
288118.3125,9005,300213.5625,Jun,2014,Friday,31.99537063,12095.25,,,
391930.875,12222,407438.9063,Jun,2014,Saturday,32.06765464,15508.03125,,,
193772.5781,6037,201254.7188,Jun,2014,Sunday,32.09749513,7482.140625,,,
214177.9844,6607,220255.2188,Jun,2014,Monday,32.41682827,6077.234375,,,
188334.5156,5857,195254.7813,Jun,2014,Tuesday,32.15545768,6920.265625,,,
