Date,Sales,Cost Of Sales,Quantity Sold
19/7/2014,242758.9505,255779.8545,7485
20/7/2014,85078.24369,83020.51413,2428
21/7/2014,86738.06743,84643.27183,2475
22/7/2014,56673.61581,55278.70783,1618
23/7/2014,165742.1705,173725.3575,5106
24/7/2014,95618.2488,92416.90384,2729
25/7/2014,515698.7958,538260.2718,15897
26/7/2014,562590.3665,586670.5141,17343
27/7/2014,266305.9259,277238.0104,8207
28/7/2014,292634.7457,304508.379,9018
29/7/2014,212360.9931,221017.0731,6548
30/7/2014,198019.3321,205903.8249,6102
31/7/2014,295508.3273,307222.3954,9108
1/8/2014,611894.6732,636341.3159,18867
2/8/2014,628685.2188,653779.9635,19384
3/8/2014,307272.6837,319500.0095,9473
4/8/2014,362106.5326,376645.7509,11170
5/8/2014,262349.591,272809.2904,8091
6/8/2014,80697.9035,77649.63653,2303
7/8/2014,103272.6227,99367.23322,2947
8/8/2014,439421.4221,456509.6219,13542
9/8/2014,408616.3506,424340.9494,12588
10/8/2014,195866.773,203331.4348,6032
11/8/2014,232347.3532,241134.5278,7158
12/8/2014,190325.1811,197438.1116,5863
13/8/2014,197698.1186,205114.1289,6092
14/8/2014,177908.8356,184687.5291,5485
15/8/2014,473321.8825,491559.423,14587
16/8/2014,541600.8922,562953.3708,16686
17/8/2014,239513.979,249203.1208,7380
18/8/2014,255224.2226,265532.5462,7864
19/8/2014,160372.0397,167021.1578,4941
20/8/2014,171587.3323,174723.1754,5151
21/8/2014,164208.0606,167239.6488,4928
22/8/2014,376778.8357,384006.0453,11309
23/8/2014,453633.474,463250.0713,13613
24/8/2014,214392.4009,218347.7978,6424
25/8/2014,316404.0623,323293.3966,9493
26/8/2014,242824.5013,259860.5125,7619
27/8/2014,274712.2533,304334.7846,8909
28/8/2014,258066.1694,287168.5661,8400
29/8/2014,594007.2132,660937.8048,19317
30/8/2014,717096.7128,797788.892,23310
31/8/2014,358170.9963,398562.6074,11646
1/9/2014,594953.6349,662850.9908,19366
2/9/2014,469469.941,523480.3033,15291
3/9/2014,464067.7993,517180.5433,15100
4/9/2014,312311.954,348177.1205,10164
5/9/2014,501279.0004,558766.6903,16310
6/9/2014,552703.9038,616169.8514,17985
7/9/2014,234153.7622,261088.3864,7620
8/9/2014,244481.4977,272633.3998,7958
9/9/2014,122749.6353,120070.9502,3503
10/9/2014,78736.40284,77071.54271,2247
11/9/2014,70875.11067,69489.36085,2023
12/9/2014,148634.3914,145956.1397,4242
13/9/2014,171724.8288,168652.2036,4901
14/9/2014,86435.69883,84948.37458,2467
15/9/2014,120236.1827,118094.0432,3432
16/9/2014,83204.19669,81753.42459,2375
17/9/2014,73768.03473,72471.91932,2105
18/9/2014,69425.44512,68280.38328,1982
19/9/2014,137154.9541,135276.9096,3915
20/9/2014,153569.0619,151376.1356,4383
21/9/2014,75633.32059,74546.66825,2159
22/9/2014,90815.92981,89653.63759,2592
23/9/2014,110118.1564,108880.409,3143
24/9/2014,209908.3831,223554.0866,6457
25/9/2014,358365.683,382967.9832,11039
26/9/2014,585463.996,625980.9302,18036
27/9/2014,617019.0915,661010.5913,19017
28/9/2014,283850.5971,304440.6515,8747
29/9/2014,264317.1104,283912.9687,8147
30/9/2014,358024.9813,384823.4399,11036
1/10/2014,594438.2808,639306.5688,18330
2/10/2014,470507.663,506072.0333,14503
3/10/2014,518693.5287,557939.3693,15986
4/10/2014,656245.8284,705891.3003,20223
5/10/2014,280055.1177,301279.655,8631
6/10/2014,375648.0175,404178.9211,11579
7/10/2014,78111.71646,74251.87473,2127
8/10/2014,70509.13279,67141.97963,1923
9/10/2014,103281.311,98065.93908,2809
10/10/2014,179841.4318,170757.5812,4891
11/10/2014,138038.2398,131192.3168,3758
12/10/2014,61037.56223,57992.34151,1661
13/10/2014,86799.75945,82392.33326,2360
14/10/2014,69570.50147,66313.94098,1894
15/10/2014,130476.3553,124398.4316,3548
16/10/2014,95229.77348,91087.85134,2591
17/10/2014,121057.8613,116949.7913,3293
18/10/2014,169498.9164,164492.9466,4611
19/10/2014,90692.37588,87911.21158,2468
20/10/2014,101723.915,98870.81188,2773
21/10/2014,103395.6913,100424.1557,2815
22/10/2014,99075.5991,96511.72216,2701
23/10/2014,97476.14472,94763.84255,2651
24/10/2014,248974.6528,241961.1432,6781
25/10/2014,302721.6833,294129.6711,8249
26/10/2014,128520.7278,124739.2339,3502
27/10/2014,145185.2683,140651.9372,3949
28/10/2014,89527.55663,87067.05132,2435
29/10/2014,81991.88284,80112.54801,2232
30/10/2014,69704.49111,68293.09639,1898
31/10/2014,166652.3948,163319.7165,4537
1/11/2014,247453.1022,242638.8012,6730
2/11/2014,148476.1812,145646.3368,4038
3/11/2014,205368.9226,201281.239,5581
4/11/2014,99244.68185,90949.44225,2519
5/11/2014,72756.8631,67872.77433,1847
6/11/2014,86867.45808,84486.08609,2309
7/11/2014,140167.8039,136539.2033,3722
8/11/2014,160727.3028,156700.825,4268
9/11/2014,74115.62878,71994.34639,1968
10/11/2014,76103.29152,73967.60569,2016
11/11/2014,56303.36657,54996.86661,1497
12/11/2014,49436.81586,48289.89228,1314
13/11/2014,55033.1224,53997.21887,1466
14/11/2014,149808.1659,146994.8955,3984
15/11/2014,180685.5107,176898.2778,4802
16/11/2014,75871.43677,73905.81016,2017
17/11/2014,86313.33408,84418.78911,2297
18/11/2014,62631.79875,61158.36109,1665
19/11/2014,48529.10336,47409.55406,1291
20/11/2014,51040.88137,50038.14263,1361
21/11/2014,53973.92224,47192.49828,1281
22/11/2014,47497.98253,41179.08825,1122
23/11/2014,31219.95153,26893.30468,737
24/11/2014,26870.32387,23516.04172,641
25/11/2014,40530.64229,35674.19076,968
26/11/2014,30371.43134,26054.84917,709
27/11/2014,37776.65877,32719.68964,880
28/11/2014,46818.20532,40652.57641,1096
29/11/2014,88321.62555,79880.24368,2068
30/11/2014,101037.8278,93177.8847,2375
1/12/2014,105100.6676,97257.39467,2492
2/12/2014,88219.52549,85533.42892,2170
3/12/2014,71590.36929,69654.93031,1784
4/12/2014,54996.62169,54503.02855,1368
5/12/2014,77884.18161,77619.29489,1914
6/12/2014,150370.1167,154998.8346,3765
7/12/2014,104675.3761,111903.7379,2712
8/12/2014,90121.53048,91081.66819,2222
9/12/2014,75425.4437,77014.25596,1861
10/12/2014,161844.8094,169348.5186,4095
11/12/2014,158603.357,171692.9936,4157
12/12/2014,279092.096,301236.1099,7259
13/12/2014,369350.9895,402564.6786,9654
14/12/2014,177500.1077,192327.3207,4632
15/12/2014,282246.6287,304489.6383,7341
16/12/2014,166037.9257,179571.1291,4308
17/12/2014,148910.9984,161137.522,3865
18/12/2014,202359.1429,221435.7686,5288
19/12/2014,274343.6543,299516.8378,7141
20/12/2014,316167.0747,346378.3048,8268
21/12/2014,173833.4001,190644.5016,4541
22/12/2014,204565.0818,210188.9094,5014
23/12/2014,316394.7309,326627.1384,7778
24/12/2014,486230.3202,495909.0896,11809
25/12/2014,137686.5321,140525.7867,3344
26/12/2014,48102.96241,49028.36507,1169
27/12/2014,110162.132,112383.5592,2676
28/12/2014,69051.33709,70482.7178,1677
29/12/2014,133307.369,136003.4825,3237
30/12/2014,216389.5043,235723.7648,5607
31/12/2014,365055.312,398013.3483,9464
1/1/2015,112161.4196,122170.4317,2905
2/1/2015,271101.4617,295019.4694,7023
3/1/2015,245813.2883,267734.7253,6371
4/1/2015,178394.812,194427.448,4624
5/1/2015,220443.6315,239988.0275,5717
6/1/2015,181534.1887,197328.9439,4705
7/1/2015,83176.48139,84728.8312,2020
8/1/2015,76894.77935,78468.0955,1868
9/1/2015,123859.388,126444.1425,3008
10/1/2015,120807.5742,123392.8041,2934
11/1/2015,69597.36735,71051.3635,1690
12/1/2015,84738.29441,86467.53775,2058
13/1/2015,64653.97214,65980.42209,1570
14/1/2015,59553.38603,60703.35603,1446
15/1/2015,79080.75696,80337.74831,1921
